,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
287,4.52,245.566,98.914,286.844,1.423,0.957,2.816,28.832,33.2696
288,4.465,242.592,61.963,318.298,0.846,3.125,2.611,27.4832,8.8831
289,4.464,239.635,114.332,254.659,1.713,0.649,3.495,55.656,20.2496
290,6.551,236.694,126.618,269.054,2.641,0.974,4.529,36.7926,20.1266
291,3.24,233.772,75.055,287.335,1.168,2.989,7.069,54.6107,-48.5085
292,4.764,230.867,138.899,241.411,2.577,0.444,4.844,45.18,23.3512
293,7.099,227.984,127.078,246.619,3.526,3.6545,3.179,17.8456,31.1177
294,9.032,225.12,34.302,325.448,1.28,6.865,4.292,23.0769,-32.7518
295,7.911,222.28,30.648,330.114,0.508,14.624,4.136,47.7914,-19.3214
296,1.005,219.463,17.036,314.536,0.05,2.612,7.607,17.2992,-45.5725
297,5.293,216.67,104.082,298.679,2.073,2.251,6.4,29.9772,-2.07107
298,2.203,213.902,42.752,280.451,1.253,0.629,6.12,23.6199,-30.5188
299,4.924,211.16,117.522,277.364,2.487,3.767666666666667,4.901,34.1076,28.7555
300,9.254,208.447,130.186,255.323,3.878,6.906333333333334,4.214,15.9853,15.5369
301,7.193,205.761,21.269,320.652,1.008,10.045,4.787,27.2796,-32.5975
302,4.76,203.105,36.03,318.187,1.264,4.209,5.717,33.92,-13.7783
303,5.477,200.48,109.694,243.465,2.493,2.828333333333333,4.589,22.7694,19.9886
304,7.354,197.886,32.0,284.898,1.341,1.4476666666666667,5.338,5.56251,-28.0579
305,9.529,195.325,47.704,312.876,1.769,0.067,5.0,8.40935,-17.3489
306,11.161,192.797,78.52,316.02,2.108,4.938,6.636,24.8032,-3.35017
307,0.551,190.305,36.079,274.034,1.386,1.743,7.025,39.2473,-7.40412
308,2.371,187.848,20.707,321.304,0.188,6.547,4.982,19.0733,-18.5882
309,1.705,185.427,27.804,300.882,0.52,10.287,2.925,38.5305,-16.7437
310,-3.178,183.044,29.074,279.782,0.756,2.223,6.158,19.125,-4.72739
311,-3.942,180.699,21.304,281.567,0.193,1.723,4.498,21.8887,-24.7677
312,-3.347,178.394,62.209,281.081,0.157,1.019,2.418,28.9997,-4.33306
313,-2.188,176.13,46.84,287.131,0.127,0.595,3.012,33.4864,-4.22901
314,-0.793,173.906,59.092,255.502,0.76,0.237,1.859,27.0688,-3.37876
315,-2.205,171.724,42.997,283.67,0.297,1.111,1.599,36.0232,-10.6447
316,-2.3,169.585,90.056,242.798,0.741,0.405,1.519,61.5005,5.79729
317,-1.787,167.491,99.39,218.118,0.979,0.252,3.43,29.3791,24.0694
318,2.714,165.44,16.333,297.363,1.127,2.213,6.198,44.8288,-16.5822
319,1.354,163.435,14.988,308.451,0.279,5.639,8.218,34.9295,-15.9619
320,-2.193,161.476,40.974,282.752,0.206,3.644,4.798,29.439,-3.1621
321,1.011,159.564,90.377,246.539,1.481,0.011,6.581,32.8982,11.9666
322,0.577,157.7,76.027,212.394,1.416,0.41100000000000003,2.378,30.1474,-7.42743
323,0.673,155.884,76.948,242.55,1.206,0.811,2.323,29.351,7.66668
324,4.493,154.117,32.128,329.643,0.254,7.556,3.624,32.0435,-24.6709
325,-4.668,152.399,19.4,282.145,0.267,4.625,10.017,22.2664,-18.8425
326,-6.673,150.732,42.347,260.03,0.194,3.069,5.827,28.1061,-13.6796
327,-3.285,149.116,48.973,254.626,0.547,0.107,4.489,38.5907,-6.4536
328,0.434,147.551,26.788,301.344,0.696,4.893,4.867,23.2649,-8.09337
329,-7.957,146.039,75.708,238.79,0.3,0.903,0.27,62.2005,-18.7142
330,-6.658,144.578,59.996,224.487,0.422,0.441,0.27,61.5612,-15.6229
331,-3.992,143.171,87.256,183.83,1.473,2.122,1.424,25.4373,19.6128
332,0.812,141.818,32.706,290.393,1.24,3.803,3.343,36.7158,-14.5322
